Biometric, BQ, [PartyAuthentication], 1
BranchLocationOperationsOutcome, schema, [BranchLocationOperations], 1
ServicingIssueOutcome, schema, [ServicingIssue], 1
MarketTradeConfirmation, BQ, [TradeClearing], 1
feearrangement, Reference, [Leasing; SavingsAccount; CustomerOffer; CurrentAccount; DirectDebitMandate; MerchandisingLoan; DirectDebitsService; CorporateCurrentAccount; ConsumerLoan; LetterofCredit; CreditCard; VirtualAccount; MortgageLoan; Loan; TermDeposit; CorporateLoan; CorporateAction], 17
BusinessUnitManagementPlan, CR, [BusinessUnitManagement], 1
taxtypevalues, Enum, [Leasing; SavingsAccount; CurrentAccount; MerchandisingLoan; CorporateCurrentAccount; ConsumerLoan; CreditCard; VirtualAccount; MortgageLoan; Loan; TermDeposit; CorporateLoan], 12
CounterpartyDirectoryEntry, CR, [CounterpartyAdministration], 1
ProductandServiceAgreement, CR, [SalesProduct], 1
productagreement, Reference, [PaymentExecution; SalesProductAgreement; IssuedDeviceAdministration; StandingOrder; PartyReferenceDataDirectory; CustomerProductandServiceDirectory; CustomerOffer; DirectDebitMandate; SalesProduct; BrokeredProduct; DirectDebitsService; InternalBankAccount; CorrespondentBankOperations; CreditCard; CustomerPosition; PaymentOrder; PositionKeeping], 17
customerincident, Reference, [CustomerRelationshipManagement], 1
SpecialPricingConditionsDirectoryEntry, CR, [SpecialPricingConditions], 1
branch, Reference, [Leasing; InvestmentAccount; SavingsAccount; CurrentAccount; BranchLocationOperations; SalesProduct; MerchandisingLoan; CorporateCurrentAccount; ConsumerLoan; CreditCard; VirtualAccount; MortgageLoan; Loan; TermDeposit; MerchantAcquiringFacility; CorporateLoan], 16
CreditCardAuthorizationAssessment, CR, [CardAuthorization], 1
Precedents, BQ, [PartyLifecycleManagement], 1
TransactionReporting, BQ, [TradeConfirmationMatching; TradeandPriceReporting], 2
AccountReconciliationProcedure, CR, [AccountReconciliation], 1
undertakingdemandpaymentarrangement, Reference, [LetterofCredit], 1
Occupancy, BQ, [LocationDataManagement], 1
PaymentInstructionOutcome, schema, [PaymentInstruction], 1
BankGuaranteeIssuanceandBooking, BQ, [BankGuarantee], 1
CommissionsOutcome, schema, [Commissions], 1
partyprofiletypevalues, Enum, [Underwriting], 1
Status, BQ, [PartyRoutingProfile], 1
Structuring, BQ, [SyndicatedLoan], 1
GeneralMarketResearchAnalysis, CR, [MarketAnalysis], 1
agreement, Reference, [PaymentExecution; ProcessingOrder; AccountReconciliation; SalesProductAgreement; IssuedDeviceAdministration; FinancialInstrumentValuation; TradeSettlement; QuoteManagement; OrderAllocation; StandingOrder; PartyReferenceDataDirectory; CustomerProposition; CustomerProductandServiceDirectory; CustomerOffer; MerchantRelations; DirectDebitMandate; SalesProduct; BrokeredProduct; DocumentServices; DirectDebitsService; InternalBankAccount; CorrespondentBankOperations; PaymentInstruction; CreditCard; CustomerPosition; PaymentOrder; ContractorandSupplierAgreement; PositionKeeping; ServicingIssue; ProductServiceAgency; TradeClearing; SubCustodianAgreement; CounterpartyAdministration; CorporateAction; SecuritiesFailsProcessing], 35
tokenstatustypevalues, Enum, [IssuedDeviceAdministration; ServiceProviderOperations; BrokeredProduct], 3
PaymentInitiation, BQ, [DirectDebit], 1
Restructuring, BQ, [ConsumerLoan; AccountRecovery; Loan; CorporateLoan], 4
producttypevalues, Enum, [ConsumerLoan], 1
Associations, BQ, [LegalEntityDirectory; PartyReferenceDataDirectory], 2
analysis, Reference, [TradingBookOversight; CorporateFinance; ProductSalesSupport; HedgeFundAdministration; MergersandAcquisitionsAdvisory; BranchLocationOperations; CorrespondentBankRelationshipManagement; CustomerPosition; MutualFundAdministration; UnitTrustAdministration], 10
TransactionRouting, BQ, [CardTransactionSwitch], 1
servicingmandateinvolvement, Reference, [ServicingMandate], 1
CreditRiskModelSpecification, CR, [CreditRiskModels], 1
ServiceProviderRegistrationOperatingSession, CR, [ServiceProviderOperations], 1
BusinessArchitecture, BQ, [EnterpriseArchitecture], 1
CapacityPlanning, BQ, [AdvancedVoiceServicesManagement; eBranchManagement], 2
Analysis, BQ, [CustomerCase; CustomerTaxHandling], 2
SalesProductAgreement, CR, [SalesProductAgreement], 1
SuitabilityAssessment, CR, [SuitabilityChecking], 1
Planning, BQ, [AccountRecovery], 1
CorporateAction, BQ, [Leasing; InvestmentAccount], 2
ProductInitialization, BQ, [CustomerOffer], 1
RepoTransactionCashTransfer, BQ, [StockLendingandRepos], 1
compliancechecktypevalues, Enum, [CustomerOffer], 1
Selection, BQ, [AssetSecuritization], 1
transactiontypevalues, Enum, [ProcessingOrder; AccountReconciliation; FinancialInstrumentValuation; TradeSettlement; QuoteManagement; OrderAllocation; Underwriting; BankGuarantee; SalesProduct; DocumentServices; CorrespondentBankOperations; LetterofCredit; PaymentInstruction; CreditCard; StockLendingandRepos; CardeCommerceGateway; BankDrafts; PositionKeeping; ServicingIssue; TradeClearing; CustomerRelationshipManagement; CorporateAction; SecuritiesFailsProcessing], 23
accountrestiction, Reference, [SavingsAccount; CurrentAccount; SalesProduct; CorporateCurrentAccount; ConsumerLoan; CreditCard; Loan; TermDeposit; CorporateLoan], 9
ExternalReporting, BQ, [CustomerCreditRating], 1
MarketMakingOutcome, schema, [MarketMaking], 1
transactiontype, Reference, [ProcessingOrder; AccountReconciliation; FinancialInstrumentValuation; TradeSettlement; QuoteManagement; OrderAllocation; DocumentServices; PaymentInstruction; CardeCommerceGateway; ServicingIssue; TradeClearing; CorporateAction; SecuritiesFailsProcessing], 13
UnmatchedMarketTradeEscalation, BQ, [TradeConfirmationMatching], 1
FinancialDocumentHandling, BQ, [ATMNetworkOperations], 1
PublicPlacementIPOandUnderwriting, BQ, [PublicOffering], 1
Outbound, BQ, [Correspondence; AdvancedVoiceServicesOperations; FinancialGateway; eBranchOperations], 4
transactiontotalstypevalues, Enum, [AccountReconciliation], 1
productlifecyclestatustypevalues, Enum, [PaymentExecution; ProcessingOrder; NotionalPooling; AccountReconciliation; SalesProductAgreement; IssuedDeviceAdministration; FinancialInstrumentValuation; ProductDirectory; TradeSettlement; QuoteManagement; CorporatePayrollServices; OrderAllocation; StandingOrder; PartyReferenceDataDirectory; Underwriting; CustomerProposition; PublicOffering; CustomerProductandServiceDirectory; CustomerOffer; MerchantRelations; DirectDebitMandate; CustomerProductAndServiceEligibility; ChequeLockBox; SalesProduct; BrokeredProduct; DocumentServices; DirectDebitsService; InternalBankAccount; CorrespondentBankOperations; PaymentInstruction; CreditCard; CustomerPosition; CardeCommerceGateway; PaymentOrder; Factoring; ContractorandSupplierAgreement; ServicingMandate; PositionKeeping; ServicingIssue; MarketMaking; ProductServiceAgency; TradeClearing; CashConcentration; SubCustodianAgreement; TrustServices; ProjectFinance; CreditRiskOperations; PrivatePlacement; CorporateAction; SecuritiesFailsProcessing; CorporateTrustServices], 51
feecalculationfrequencyvalues, Enum, [Leasing; InvestmentAccount; SavingsAccount; CurrentAccount; MerchandisingLoan; CorporateCurrentAccount; ConsumerLoan; CreditCard; VirtualAccount; MortgageLoan; Loan; TermDeposit; MerchantAcquiringFacility; CorporateLoan], 14
OrderConfirmation, BQ, [PaymentOrder], 1
policy, Reference, [SalesProductAgreement], 1
eBranchChannelManagementPlan, CR, [eBranchManagement], 1
CustomerEligibilityAssessment, CR, [CustomerProductAndServiceEligibility], 1
instructionidentification, Reference, [ProcessingOrder; AccountReconciliation; PartyLifecycleManagement; FinancialInstrumentValuation; TradeSettlement; QuoteManagement; OrderAllocation; CustomerProposition; CorporateFinance; MerchantRelations; MergersandAcquisitionsAdvisory; DocumentServices; CorrespondentBankOperations; LetterofCredit; PaymentInstruction; ContractorandSupplierAgreement; ServicingIssue; ProductServiceAgency; SyndicateManagement; TradeClearing; SubCustodianAgreement; FinancialStatementAssessment; CorporateAction; SecuritiesFailsProcessing], 24
